No,Kode Saham,Nama Perusahaan,Remarks,Sebelumnya,Open Price,Tanggal Perdagangan Terakhir,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
42,ANJT,Austindo Nusantara Jaya Tbk.,--M-2135000000D232------------,630,0,24 Jun 2024,0,640,625,630,0,186400,117470000,69,52.5,635,24900,630,100,3354175000,3354175000,279402778,18700,0,0,0,0
43,ANTM,Aneka Tambang Tbk.,--SO1XNPX5S000B146------------,1230,1235,24 Jun 2024,1235,1260,1235,1250,20,22559600,28157720000,6720,824.2,1255,162000,1250,1143700,24030764725,24030764725,8372318430,5175500,3724700,0,0,0
44,APEX,Apexindo Pratama Duta Tbk.,--U-2100000000A131------------,124,0,24 Jun 2024,0,124,121,123,-1,907500,111361300,184,7.9,124,100200,123,20000,2933628566,2933628566,447706791,0,33100,0,0,0
45,APIC,Pacific Strategic Financial Tbk.,--U-2105000000G511------------,1040,0,24 Jun 2024,0,1045,1030,1040,0,3500900,3629586000,755,1106.2,1040,22800,1030,412800,11766313488,11766313488,7385714976,1623100,152000,900000,931000000,3
46,APII,Arita Prima Indonesia Tbk.,--U-2130000000C143------------,176,0,24 Jun 2024,0,178,172,177,1,10600,1848000,75,80.5,178,700,173,100,1075760000,1075760000,273888496,0,0,0,0,0
47,APLI,Asiaplast Industries Tbk.,XDU-2130000000B113------------,590,0,24 Jun 2024,0,590,590,590,0,200,118000,2,491.7,590,100,570,1500,1362671400,1362671400,172923001,0,0,0,0,0
48,APLN,Agung Podomoro Land Tbk.,--M-1135000000H111------------,88,0,24 Jun 2024,0,93,78,87,-1,21993400,1954218100,830,23.8,88,104400,87,1121200,22699326779,22699326779,3915633869,10135000,1317800,0,0,0
49,ARCI,Archi Indonesia Tbk.,--M-2135000000B143------------,232,0,24 Jun 2024,0,234,230,234,2,2514700,585815600,282,31.2,234,131700,232,82400,24835000000,24835000000,2190447000,50900,320200,720000,185760000,1
50,AREA,Dunia Virtual Online Tbk.,--U-2130000000I121------------,158,0,24 Jun 2024,0,184,160,184,26,33600000,5871339000,4617,140.5,184,801300,183,294800,2539601000,511600000,510000000,1489700,8981100,0,0,0
51,ARGO,Argo Pantes Tbk,--U-2135000000E413------------,1090,0,24 Jun 2024,0,1085,1075,1080,-10,13300,14368000,24,27.1,1070,10000,1005,100,3174339029,3174339029,296165831,0,0,0,0,0
52,ARII,Atlas Resources Tbk.,--U-2130000000A121------------,284,0,24 Jun 2024,0,284,282,282,-2,13300,3753200,5,18.8,282,21600,280,500,3431000000,3431000000,1408425500,0,0,0,0,0
53,ARKA,Arkha Jayanti Persada Tbk.,--U-4100000000C143-----------X,9,0,24 Jun 2024,0,10,9,10,1,1478300,13390000,57,4.2,0,0,10,153700,2000000000,2000000000,906400000,0,0,0,0,0
54,ARKO,Arkora Hydro Tbk.,--U-2105000000J411------------,820,0,24 Jun 2024,0,860,805,860,40,462300,388376000,200,286.7,860,5800,810,24200,2928495000,2928495000,459773715,137700,0,0,0,0
55,ARMY,Armidian Karyatama Tbk.,--U-4100000000H111---L---Y---X,50,0,24 Jun 2024,0,0,0,50,0,0,0,0,16.7,0,0,0,0,9006250000,9006250000,4440981875,0,0,0,0,0
56,ARNA,Arwana Citramulia Tbk.,--S-1135000000C121------------,575,0,24 Jun 2024,0,575,560,575,0,2529300,1445051500,250,3908.1,575,209200,570,800600,7341430976,7341430976,2917484670,1674000,36400,0,0,0
57,ARTA,Arthavest Tbk,CDU-2135000000E512------------,2450,0,24 Jun 2024,0,2470,2440,2470,20,96100,235695000,26,1432.8,2510,54200,2470,500,446674175,446674175,70485185,0,0,0,0,0
58,ARTI,Ratu Prabu Energi Tbk,--U-4100000000A132-EDL-------X,2,0,24 Jun 2024,0,2,2,2,0,5206600,10413200,3145,0.5,2,6714200,1,43621200,7840000000,7840000000,4368448000,0,0,0,0,0
59,ARTO,Bank Jago Tbk.,--UO1HF0500000G111------------,2100,2110,24 Jun 2024,2120,2280,2110,2230,130,18251700,40765578000,4566,13559.5,2230,12500,2220,61100,13717967200,13717967200,3839580731,6188500,7604200,0,0,0
60,ASBI,Asuransi Bintang Tbk.,--U-2100000000G412------------,900,0,24 Jun 2024,0,885,800,820,-80,14800,12082000,36,622.5,815,800,805,4100,348386472,348386472,50481200,0,0,0,0,0
